HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
DPA1,04.01,DPA1:04.01,0.687867355398752,1.25739385816319,0.527-3.04,0.718372950161224,0.147572836195542,0.40920371103426,14,0.0574,12,0.0462,230,248,14,474,13,507,0.0287,0.025,0.0515873015873016,504
DPA1,01.03,DPA1:01.03,0.928829711731616,0.980376842548315,0.68-1.41,0.72830685550249,0.0640774989245331,0.184460084675539,133,0.545,143,0.55,111,117,164,324,165,355,0.336,0.317,0.547619047619048,504
A,02.01,A:02.01,1,0.979619862934348,0.604-1.59,0.729555514356991,0.0834535031389905,0.241392635042504,43,0.178,47,0.181,198,212,46,436,49,469,0.0954,0.0946,0.18,500
DQA1,04.01,DQA1:04.01,0.605309012152129,0.709521298160354,0.205-2.27,0.729611605638605,-0.190559025741133,0.551318704053231,6,0.0248,9,0.0346,236,251,6,478,9,511,0.0124,0.0173,0.0298804780876494,502
C,12.02,C:12.02,0.755428379054243,1.13110222212008,0.584-2.2,0.733732286863813,0.112467535662343,0.33062643494855,23,0.095,22,0.0849,219,237,25,459,22,496,0.0517,0.0425,0.0898203592814371,501
hap,03.03_02.01_07.01,hap:03.03_02.01_07.01,0.765966653612867,1.28506908642202,0.322-5.4,0.738532120775691,0.206286744101124,0.617999056215178,6,0.0246,5,0.0192,238,255,6,482,5,515,0.0123,0.00962,0.0218253968253968,504
DPA1,02.07,DPA1:02.07,1,0.797038596384343,0.116-4.76,0.739633729606085,-0.257658755453772,0.775290299011371,3,0.0123,4,0.0154,241,256,3,485,5,515,0.00615,0.00962,0.0138888888888889,504
B,57.01,B:57.01,1,0.88960776968264,0.212-3.55,0.744310289131128,-0.203280380681394,0.623271203591757,5,0.0219,6,0.0246,223,238,5,451,6,482,0.011,0.0123,0.0233050847457627,472
B,44.02,B:44.02,1,0.533724226592232,0.009-10.3,0.748560701321379,-0.399008330400602,1.244809082525,1,0.00439,2,0.0082,227,242,1,455,2,486,0.00219,0.0041,0.00635593220338983,472
DRB1,08.02,DRB1:08.02,0.626592296560316,0.743624231075033,0.236-2.21,0.748683025732466,-0.167689019394264,0.523412547858198,7,0.0299,10,0.0398,227,241,7,461,10,492,0.015,0.0199,0.0350515463917526,485
