sample.id,DRB4.1,DRB4.2,DRB4.prob,matching
HG02374,00:00,00:00,0.997113542801603,1.57990834102033e-06
HG02375,00:00,01:03,0.996701550592667,9.44965225841997e-06
HG02379,00:00,00:00,0.992307581150467,4.72298414783023e-05
HG02380,00:00,00:00,0.994422462460413,4.08513731240468e-06
HG02382,00:00,00:00,0.999999896867786,8.9732134210621e-06
HG02383,00:00,01:03,0.964975789628289,6.36624196041334e-07
HG02384,00:00,00:00,0.999997161323059,7.50008107056494e-06
HG02385,00:00,01:03,0.971111867030179,9.05397855278052e-06
HG02386,00:00,00:00,0.999960874555655,2.06899447262558e-05
HG02389,00:00,00:00,0.999999600474208,1.93185440406177e-06
HG02390,00:00,00:00,0.996022978396763,8.50944366427248e-07
HG02391,00:00,00:00,0.999999788639927,2.32535760556283e-05
HG02392,00:00,00:00,0.99427012750655,1.93878302457356e-06
HG02394,00:00,00:00,0.990369048494685,1.9770984501702e-07
HG02395,00:00,00:00,0.999675009000663,2.81791075575082e-06
HG02396,00:00,00:00,0.999817247422268,6.16525789412506e-06
HG02397,00:00,01:03,0.955217633336485,7.85576370468154e-07
HG02398,01:03,01:03,0.981679305761275,1.70063111902613e-06
HG02399,00:00,01:03,0.988823425675413,1.27909831528821e-05
HG02401,00:00,01:03,0.937969105131868,3.66633511872587e-07
HG02402,00:00,00:00,0.981285149200699,2.84734988837067e-07
HG02406,00:00,01:03,0.986484290207936,1.95762451473298e-06
HG02407,00:00,00:00,0.999999709684945,1.7392565977989e-06
HG02408,00:00,01:03,0.99680119254645,5.78768573272313e-06
HG02409,00:00,00:00,0.999189277859074,1.9647151026132e-05
HG02410,00:00,01:03,0.855427103774288,6.71500719685604e-11
HG02512,00:00,01:03,0.990148194899515,2.25051816896375e-06
HG02513,00:00,00:00,0.987264263262616,1.83306845597171e-05
HG02521,00:00,00:00,0.99999974778856,7.10723164415766e-06
HG02522,00:00,01:03,0.988651335259002,3.86525387841126e-07
NA18525,00:00,01:03,0.971375814867171,2.05095183775367e-06
NA18526,00:00,00:00,0.983902930725319,3.83412096617748e-06
NA18528,00:00,00:00,0.999999199879681,8.65906952692817e-05
NA18530,00:00,01:01,0.991965128215983,1.06103519010506e-05
NA18531,00:00,00:00,0.999998467139104,3.21284530601892e-06
NA18532,01:03,01:03,0.594751244638564,1.2250539598567e-05
NA18533,00:00,01:03,0.999935458737475,5.47422641721342e-05
NA18534,00:00,01:03,0.992235279557549,2.02012250140462e-05
NA18535,00:00,00:00,0.999999909917899,4.70731999283484e-05
NA18536,00:00,00:00,0.999999954970017,3.60553472094081e-05
NA18537,00:00,01:03,0.986664251322196,8.73387726853609e-06
NA18538,00:00,01:03,0.997774186869353,3.46163516194125e-05
NA18539,00:00,01:03,0.999720982400243,0.000148034853152067
NA18541,00:00,01:03,0.911016727614606,3.35449444843727e-07
NA18542,00:00,01:03,0.986872810153535,1.03318895651013e-05
NA18543,00:00,01:03,0.969292564603988,2.10235274684873e-05
NA18544,00:00,00:00,0.999999999763238,0.000231464822155185
NA18545,01:03,01:03,0.984603931895087,2.61543820856776e-05
